,All-Star,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
95,True,G,Chris Paul 2010-11,25,West,16.6531,4.0408,9.7143,0.0612,2.5918,49.0,0.6327
96,True,G,Rajon Rondo 2010-11,24,East,10.4444,4.5278,12.5833,0.1667,2.4167,36.0,0.766
97,True,G,Derrick Rose 2010-11,22,East,24.4348,4.6087,8.1304,0.7174,1.0435,46.0,0.7021
98,True,G,Dwyane Wade 2010-11,29,East,25.6818,6.7727,4.2045,1.0227,1.4091,44.0,0.7083
99,True,G,Russell Westbrook 2010-11,22,West,22.6383,5.1702,8.4894,0.4681,1.9149,47.0,0.6383
100,True,G,Chauncey Billups 2009-10,33,West,19.3077,3.1026,6.0769,0.1282,1.2564,39.0,0.6809
101,True,G,Kobe Bryant 2009-10,31,West,28.0,5.375,4.75,0.3125,1.7083,48.0,0.7708
102,True,G,Joe Johnson 2009-10,28,East,21.3913,4.8043,4.7826,0.0435,1.1087,46.0,0.6522
103,True,G,Jason Kidd 2009-10,36,West,8.9565,5.2609,9.1957,0.5652,1.6739,46.0,0.6383
104,True,G,Steve Nash 2009-10,35,West,18.3265,3.2449,11.102,0.1633,0.5102,49.0,0.5714
105,True,G,Chris Paul 2009-10,24,West,20.3947,4.5789,11.1579,0.2105,2.2632,38.0,0.5532
106,True,G,Rajon Rondo 2009-10,23,East,14.0682,4.3409,9.6591,0.1364,2.4318,44.0,0.6444
107,True,G,Derrick Rose 2009-10,21,East,19.7111,3.7333,5.8889,0.3333,0.8,45.0,0.5111
108,True,G,Brandon Roy 2009-10,25,West,23.1,4.575,5.0,0.125,1.025,40.0,0.5714
109,True,G,Dwyane Wade 2009-10,28,East,27.0638,4.7021,6.1915,1.1702,1.7234,47.0,0.5106
110,True,G,Deron Williams 2009-10,25,West,19.0244,3.9024,9.5366,0.2195,1.0732,41.0,0.6087
111,True,G,Ray Allen 2008-09,33,East,17.8958,3.4167,2.7917,0.1458,1.0,48.0,0.8125
112,True,G,Kobe Bryant 2008-09,30,West,26.6304,5.587,5.1957,0.3478,1.2826,46.0,0.8043
113,True,G,Devin Harris 2008-09,25,East,21.4524,3.1429,6.4286,0.1905,1.6429,42.0,0.4375
114,True,G,Joe Johnson 2008-09,27,East,21.5319,4.4468,6.1915,0.3191,1.1915,47.0,0.5745
115,True,G,Jameer Nelson 2008-09,26,East,16.95,3.375,5.35,0.05,1.2,40.0,0.7778
116,True,G,Tony Parker 2008-09,26,West,20.6486,2.7297,6.5405,0.0811,0.8919,37.0,0.6957
117,True,G,Chris Paul 2008-09,23,West,21.7273,5.4091,10.8636,0.1818,2.7727,44.0,0.6364
118,True,G,Brandon Roy 2008-09,24,West,22.5952,4.619,5.119,0.381,1.1905,42.0,0.6304
119,True,G,Dwyane Wade 2008-09,27,East,28.4565,5.0217,7.0217,1.5,2.1739,46.0,0.5435
120,True,G,Mo Williams 2008-09,26,East,17.1778,3.2222,4.1556,0.1333,0.7778,45.0,0.8
121,True,G,Ray Allen 2007-08,32,East,18.225,3.975,2.925,0.175,1.05,40.0,0.8182
122,True,G,Chauncey Billups 2007-08,31,East,17.8182,3.0,7.0682,0.2273,1.3864,44.0,0.7174
123,True,G,Kobe Bryant 2007-08,29,West,28.0227,6.3182,5.25,0.4773,1.9318,44.0,0.6364
124,True,G,Richard Hamilton 2007-08,29,East,18.9091,3.3409,4.3636,0.1591,1.0909,44.0,0.7174
125,True,G,Allen Iverson 2007-08,32,West,27.0222,2.8222,6.9111,0.1556,2.1778,45.0,0.6
126,True,G,Joe Johnson 2007-08,26,East,21.2791,4.4186,5.3721,0.1163,0.8837,43.0,0.4419
127,True,G,Steve Nash 2007-08,33,West,17.3913,3.4783,11.7826,0.0435,0.7174,46.0,0.7021
128,True,G,Chris Paul 2007-08,22,West,20.7907,3.9302,10.7209,0.0465,2.5581,43.0,0.7111
129,True,G,Brandon Roy 2007-08,23,West,19.3333,4.4667,5.6222,0.1778,0.9333,45.0,0.5778
130,True,G,Dwyane Wade 2007-08,26,East,25.1111,4.3889,6.8056,0.7778,1.8889,36.0,0.2
131,True,G,Ray Allen 2006-07,31,West,26.6111,4.1389,4.0,0.2222,1.4167,36.0,0.3696
132,True,G,Gilbert Arenas 2006-07,25,East,29.5333,4.6222,6.3778,0.1111,1.9333,45.0,0.6
133,True,G,Chauncey Billups 2006-07,30,East,18.0556,3.4722,7.6389,0.3056,1.2778,36.0,0.5909
134,True,G,Kobe Bryant 2006-07,28,West,28.7619,5.4524,5.5714,0.4524,1.1667,42.0,0.6087
135,True,G,Vince Carter 2006-07,30,East,24.9565,5.6087,4.4348,0.3478,1.0652,46.0,0.4783
136,True,G,Richard Hamilton 2006-07,28,East,22.7381,3.9524,3.5952,0.2857,0.8571,42.0,0.5909
137,True,G,Joe Johnson 2006-07,25,East,25.3,4.1,4.125,0.15,1.15,40.0,0.3864
138,True,G,Jason Kidd 2006-07,33,East,14.913,8.1957,8.8261,0.3261,1.6957,46.0,0.4783
139,True,G,Steve Nash 2006-07,32,West,19.6047,3.3023,11.9535,0.0465,0.7209,43.0,0.8
140,True,G,Tony Parker 2006-07,24,West,18.9783,3.2391,5.6087,0.087,0.9783,46.0,0.6809
141,True,G,Dwyane Wade 2006-07,25,East,28.3947,4.8947,7.8158,1.1579,2.0526,38.0,0.4444
142,True,G,Ray Allen 2005-06,30,West,24.8537,4.2195,3.5366,0.1707,1.6098,41.0,0.4091
143,True,G,Gilbert Arenas 2005-06,24,East,27.9524,3.8095,6.0,0.381,1.7619,42.0,0.4884
144,True,G,Chauncey Billups 2005-06,29,East,19.5116,3.2326,8.5116,0.0698,0.7209,43.0,0.8605
145,True,G,Kobe Bryant 2005-06,27,West,35.9762,5.5,4.3095,0.4286,1.3571,42.0,0.5455
146,True,G,Vince Carter 2005-06,29,East,24.0,5.9512,4.2683,0.6585,1.0976,41.0,0.5349
147,True,G,Richard Hamilton 2005-06,27,East,21.5814,3.3488,3.3256,0.1163,0.6977,43.0,0.8605
148,True,G,Allen Iverson 2005-06,30,East,33.6429,3.4048,7.5476,0.1905,1.9286,42.0,0.5111
149,True,G,Steve Nash 2005-06,31,West,19.2,4.4222,11.3333,0.1333,0.8889,45.0,0.6444
150,True,G,Tony Parker 2005-06,23,West,19.3111,3.7778,5.7778,0.0444,1.1778,45.0,0.7778
151,True,G,Dwyane Wade 2005-06,24,East,26.8182,5.9773,6.8864,0.8636,1.9318,44.0,0.6087
152,True,G,Ray Allen 2004-05,29,West,23.9524,4.1667,4.0714,0.0476,1.1667,42.0,0.6977
153,True,G,Gilbert Arenas 2004-05,23,East,24.3171,4.1707,5.0488,0.122,1.7805,41.0,0.6047
154,True,G,Kobe Bryant 2004-05,26,West,27.4706,6.3235,6.5882,1.0294,1.3529,34.0,0.5476
155,True,G,Manu Ginóbili 2004-05,27,West,15.8889,4.4222,3.8667,0.3778,1.7556,45.0,0.7872
156,True,G,Allen Iverson 2004-05,29,East,29.0256,4.1026,7.4615,0.0513,2.2308,39.0,0.4773
157,True,G,Steve Nash 2004-05,30,West,15.6744,3.1628,11.0465,0.0465,1.0698,43.0,0.7826
158,True,G,Dwyane Wade 2004-05,23,East,23.5238,5.2143,7.5238,1.0,1.5238,42.0,0.7174
159,True,G,Ray Allen 2003-04,28,West,23.3,5.15,5.3,0.2,1.4,20.0,0.4889
160,True,G,Kobe Bryant 2003-04,25,West,21.7143,4.8,4.3143,0.2857,1.7143,35.0,0.6279
161,True,G,Vince Carter 2003-04,27,East,20.9024,4.5854,4.6829,1.0,1.0488,41.0,0.4773
162,True,G,Sam Cassell 2003-04,34,West,21.1111,3.2444,7.5111,0.2222,1.1111,45.0,0.7111
163,True,G,Baron Davis 2003-04,24,West,23.3256,4.1628,7.9302,0.4186,2.3953,43.0,0.5532
164,True,G,Steve Francis 2003-04,26,West,16.6087,5.5652,5.8913,0.4565,1.4348,46.0,0.5652
165,True,G,Allen Iverson 2003-04,28,East,27.2727,4.0,6.0606,0.0909,2.5455,33.0,0.4255
166,True,G,Jason Kidd 2003-04,30,East,17.1136,6.4318,9.5909,0.25,1.7045,44.0,0.5556
167,True,G,Michael Redd 2003-04,24,East,22.1489,5.1489,2.2766,0.0638,1.0426,47.0,0.5532
168,True,G,Kobe Bryant 2002-03,24,West,27.7273,7.4773,6.9773,0.9091,2.1591,44.0,0.4773
169,True,G,Vince Carter 2002-03,26,East,18.6923,3.5385,2.5385,0.6154,0.8462,13.0,0.2609
170,True,G,Steve Francis 2002-03,25,West,22.7111,6.1111,6.1111,0.4889,1.5556,45.0,0.5556
171,True,G,Allen Iverson 2002-03,27,East,26.8936,4.4043,4.766,0.0851,2.5532,47.0,0.5319
172,True,G,Michael Jordan 2002-03,39,East,18.1064,5.5319,3.766,0.4681,1.6383,47.0,0.4681
173,True,G,Jason Kidd 2002-03,29,East,20.0222,5.8444,8.3333,0.2889,2.2444,45.0,0.6957
174,True,G,Stephon Marbury 2002-03,25,West,21.9787,3.1064,8.2766,0.234,1.3404,47.0,0.5625
175,True,G,Steve Nash 2002-03,28,West,18.2444,2.9111,6.8222,0.0222,1.2444,45.0,0.8
176,True,G,Ray Allen 2001-02,26,East,21.9459,4.2703,4.027,0.3243,1.4865,37.0,0.6136
177,True,G,Kobe Bryant 2001-02,23,West,26.3488,5.3721,5.5581,0.4186,1.5581,43.0,0.7209
178,True,G,Vince Carter 2001-02,25,East,25.6444,5.7333,4.5111,0.8444,1.6889,45.0,0.587
179,True,G,Baron Davis 2001-02,22,East,18.9545,4.3636,8.6818,0.7727,1.7273,44.0,0.4773
180,True,G,Steve Francis 2001-02,24,West,22.1111,7.7778,6.4815,0.2222,1.3704,27.0,0.3261
181,True,G,Allen Iverson 2001-02,26,East,30.1316,4.3421,5.6316,0.2632,2.4474,38.0,0.5111
182,True,G,Michael Jordan 2001-02,38,East,25.1429,6.2857,5.119,0.4762,1.5476,42.0,0.5116
183,True,G,Jason Kidd 2001-02,28,East,13.9773,7.1364,9.9318,0.25,2.0227,44.0,0.6818
184,True,G,Steve Nash 2001-02,27,West,19.6522,3.1087,7.913,0.0652,0.6522,46.0,0.7174
185,True,G,Gary Payton 2001-02,33,West,23.0222,4.7111,9.2,0.3111,1.6222,45.0,0.5111
186,True,G,Ray Allen 2000-01,25,East,21.2273,4.9318,3.8182,0.2727,1.6364,44.0,0.6136
187,True,G,Kobe Bryant 2000-01,22,West,29.6591,5.75,4.5682,0.6364,1.75,44.0,0.6364
188,True,G,Vince Carter 2000-01,24,East,27.6923,5.359,3.8974,0.8974,1.6154,39.0,0.5217
189,True,G,Michael Finley 2000-01,27,West,21.587,5.087,4.3261,0.3478,1.5,46.0,0.6087
190,True,G,Allan Houston 2000-01,29,East,20.0244,3.4878,2.3415,0.0976,0.439,41.0,0.619
191,True,G,Allen Iverson 2000-01,25,East,29.1395,3.9767,4.6744,0.3256,2.4186,43.0,0.7556
192,True,G,Jason Kidd 2000-01,27,West,16.4872,6.2821,9.7436,0.3077,2.1795,39.0,0.5909
193,True,G,Stephon Marbury 2000-01,23,East,23.8605,2.907,6.7209,0.0698,1.2093,43.0,0.2979
194,True,G,Gary Payton 2000-01,32,West,23.2128,5.0,8.3404,0.2979,1.5319,47.0,0.5417
195,True,G,Latrell Sprewell 2000-01,30,East,17.2564,4.9744,3.5897,0.2821,1.4615,39.0,0.619
196,True,G,Jerry Stackhouse 2000-01,26,East,29.5909,3.8182,5.0909,0.7045,1.3409,44.0,0.3696
197,True,G,Ray Allen 1999-00,24,East,21.6444,4.1111,4.0889,0.1778,1.2222,45.0,0.5556
198,True,G,Kobe Bryant 1999-00,21,West,22.7586,6.1724,3.7931,0.8966,1.5172,29.0,0.7727
199,True,G,Vince Carter 1999-00,23,East,24.0465,5.8837,3.814,1.1395,1.2558,43.0,0.5581
200,True,G,Michael Finley 1999-00,26,West,22.3953,7.093,5.9767,0.3256,1.2558,43.0,0.3953
201,True,G,Allan Houston 1999-00,28,East,20.8571,3.6905,2.8333,0.3095,0.8571,42.0,0.619
202,True,G,Allen Iverson 1999-00,24,East,30.7353,3.7353,4.6471,0.0588,2.0588,34.0,0.5455
203,True,G,Eddie Jones 1999-00,28,East,19.9063,4.75,4.625,0.5938,3.0938,32.0,0.5714
204,True,G,Jason Kidd 1999-00,26,West,15.9767,7.0698,10.0465,0.4884,2.0233,43.0,0.5814
205,True,G,Reggie Miller 1999-00,34,East,19.3721,2.8837,2.4186,0.3488,1.1395,43.0,0.6512
206,True,G,Gary Payton 1999-00,31,West,23.3778,6.1778,8.6,0.1556,1.6222,45.0,0.6222
207,True,G,Jerry Stackhouse 1999-00,25,East,23.2045,4.4318,4.7955,0.3864,1.3182,44.0,0.5
208,True,G,John Stockton 1999-00,37,West,12.0,2.5714,8.7381,0.1667,1.6905,42.0,0.6429
209,True,G,Kobe Bryant 1997-98,19,West,17.625,3.25,2.375,0.4,1.075,40.0,0.7442
210,True,G,Anfernee Hardaway 1997-98,26,East,19.0,4.4667,3.5333,0.7333,1.6667,15.0,0.4565
211,True,G,Tim Hardaway 1997-98,31,East,19.3023,4.3488,8.4884,0.2558,2.093,43.0,0.6279
212,True,G,Eddie Jones 1997-98,26,West,18.2791,3.5116,3.1163,0.6977,2.3256,43.0,0.7442
213,True,G,Michael Jordan 1997-98,34,East,28.913,6.1522,3.4783,0.5652,1.6739,46.0,0.7174
214,True,G,Jason Kidd 1997-98,24,West,10.0465,6.3721,9.1163,0.1628,2.2791,43.0,0.6744
215,True,G,Reggie Miller 1997-98,32,East,19.9535,2.814,1.8837,0.0698,1.0233,43.0,0.7209
216,True,G,Gary Payton 1997-98,29,West,19.2667,4.8667,8.6889,0.1778,2.3778,45.0,0.7778
217,True,G,Mitch Richmond 1997-98,32,West,23.3111,3.2222,3.9556,0.2,1.4,45.0,0.4222
218,True,G,Steve Smith 1997-98,28,East,19.907,4.0698,3.7209,0.4884,0.9535,43.0,0.6087
219,True,G,Nick Van Exel 1997-98,26,West,15.122,3.3171,7.6098,0.122,1.0,41.0,0.7442
220,True,G,Terrell Brandon 1996-97,26,East,20.3953,3.8372,6.4651,0.5581,1.907,43.0,0.5581
221,True,G,Clyde Drexler 1996-97,34,West,18.3095,5.9048,5.7381,0.6667,1.9524,42.0,0.7111
222,True,G,Joe Dumars 1996-97,33,East,14.5476,2.6667,3.8095,0.0238,0.7857,42.0,0.7442
223,True,G,Anfernee Hardaway 1996-97,25,East,20.2222,5.2778,5.3333,0.6667,1.3889,18.0,0.5122
224,True,G,Tim Hardaway 1996-97,30,East,19.2045,3.5455,8.1364,0.0909,1.7273,44.0,0.7273
225,True,G,Eddie Jones 1996-97,25,West,16.5111,3.9333,3.4667,0.5556,2.6889,45.0,0.7333
226,True,G,Michael Jordan 1996-97,33,East,30.4,5.6889,3.9333,0.4444,1.7333,45.0,0.8889
227,True,G,Gary Payton 1996-97,28,West,22.1778,4.2667,7.2667,0.1333,2.4667,45.0,0.7111
228,True,G,Mitch Richmond 1996-97,31,West,25.0667,4.2889,4.1111,0.3111,1.5333,45.0,0.4222
229,True,G,Latrell Sprewell 1996-97,26,West,25.5,4.7273,6.25,0.75,1.75,44.0,0.3864
230,True,G,John Stockton 1996-97,34,West,14.3636,2.5909,10.3409,0.1364,2.0455,44.0,0.7045
231,True,G,Terrell Brandon 1995-96,25,East,19.6512,3.4419,6.907,0.4186,1.7209,43.0,0.5349
232,True,G,Clyde Drexler 1995-96,33,West,20.0,7.1944,5.2778,0.4167,1.9444,36.0,0.6444
233,True,G,Anfernee Hardaway 1995-96,24,East,24.3256,4.6512,6.5814,0.7209,1.9302,43.0,0.7209
234,True,G,Michael Jordan 1995-96,32,East,30.8571,6.2143,4.3095,0.4524,2.2619,42.0,0.9286
235,True,G,Jason Kidd 1995-96,22,West,15.4,6.9,9.75,0.275,2.225,40.0,0.3415
236,True,G,Reggie Miller 1995-96,30,East,21.0976,2.7073,3.1707,0.2439,1.0488,41.0,0.6744
237,True,G,Gary Payton 1995-96,27,West,18.6744,4.093,7.3023,0.2791,2.7209,43.0,0.7442
238,True,G,Mitch Richmond 1995-96,30,West,22.7179,3.2821,3.1282,0.2308,1.4872,39.0,0.5897
239,True,G,John Stockton 1995-96,33,West,14.9302,2.7907,11.3023,0.2093,1.5349,43.0,0.6744
240,True,G,Dana Barros 1994-95,27,East,20.3953,3.1395,7.5116,0.0465,1.7209,43.0,0.2791
241,True,G,Joe Dumars 1994-95,31,East,19.6389,2.4722,5.4722,0.0833,1.0556,36.0,0.35
242,True,G,Anfernee Hardaway 1994-95,23,East,21.0238,4.1667,6.5238,0.2857,1.9286,42.0,0.814
243,True,G,Dan Majerle 1994-95,29,West,17.6512,4.8372,3.814,0.4651,1.186,43.0,0.7907
244,True,G,Reggie Miller 1994-95,29,East,19.8293,2.3902,2.878,0.1707,1.2927,41.0,0.5854
245,True,G,Gary Payton 1994-95,26,West,19.95,3.475,7.275,0.15,2.575,40.0,0.725
246,True,G,Mitch Richmond 1994-95,29,West,22.7143,4.1429,3.7857,0.3333,1.1905,42.0,0.5714
